,corrected_grams,note,needs,qty_source,recipe_name,meal_type,serves,section,ingredient_line,parsed_name,computed_grams,how,FULL_RECIPE_for_context,why_flagged
0,40,,?,estimated,Chipotle Chicken Chop Bowl,lunch,1,,low fat yogurt,low fat yogurt,150,bare → 150 g typical (yogurt),"100g ground chicken breast · chipotle taco seasoning & tomato sauce · ¼ cup corn · ¼ cup black beans · ⅓ cup rice · low fat yogurt · sriracha · cucumbers, tomatoes, onion · optional: pickled jalapeños, diced avocado, fresh coriander",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Chipotle Chicken Chop Bowl,lunch,1,,"cucumbers, tomatoes, onion",cucumbers,300,bare → 1 × 300 g (cucumber),"100g ground chicken breast · chipotle taco seasoning & tomato sauce · ¼ cup corn · ¼ cup black beans · ⅓ cup rice · low fat yogurt · sriracha · cucumbers, tomatoes, onion · optional: pickled jalapeños, diced avocado, fresh coriander",large (~300g) main/base
1,,,,,,,,,,,,,,
0,40,20g per serve,?,estimated,Crispy Rice Tuna Salad,lunch,2,Tuna Salad,Mayo and/or Greek yogurt,Mayo and/or Greek yogurt,150,bare → 150 g typical (yogurt),"[Crispy Rice] 2 cups jasmine rice, cooked and cooled · [Crispy Rice] Sriracha to taste · [Crispy Rice] 3 tsp soy sauce · [Crispy Rice] 1 tbsp sesame oil · [Tuna Salad] 1 can tuna · [Tuna Salad] Mayo and/or Greek yogurt · [Tuna Salad] Smoked paprika · [Tuna Salad] Pinch of sugar · [Tuna Salad] Salt and sriracha · [Toppings] ½ avocado · [Toppings] 1 mini cucumber · [Toppings] Everything bagel seasoning · [Toppings] Sriracha · [Toppings] Green onion",large (~150g) main/base
1,,,,,,,,,,,,,,
0,225,,?,estimated,Green Goddess Chicken Prep Mix,lunch,2,Salad,"¼ small white cabbage, shredded",white cabbage,157.5,0.25 × 900 g whole (white cabbage),"[Salad] 200g cooked chicken breast, shredded · [Salad] ½ medium avocado, diced · [Salad] ¼ small cucumber, diced · [Salad] ¼ small white cabbage, shredded · [Green Goddess Dressing] 1 large spring onion, roughly chopped · [Green Goddess Dressing] large handful fresh basil and parsley · [Green Goddess Dressing] 1 tsp garlic granules · [Green Goddess Dressing] 1 tsp Dijon mustard · [Green Goddess Dressing] 1 tsp honey · [Green Goddess Dressing] 1 heaped tbsp Greek yoghurt · [Green Goddess Dressing] 1 tbsp red wine vinegar · [Green Goddess Dressing] 1 tbsp nutritional yeast",large (~158g) main/base
1,,,,,,,,,,,,,,
0,400,,?,estimated,Instant Noodle Jars,lunch,1,,tofu (or sub with chicken),tofu (or sub with chicken),150,bare → 150 g typical (tofu),2 tbsp vegetable bouillon · 1 tbsp chili garlic sauce · 1 tbsp soy sauce · 1 tsp sesame oil · 2 tsp minced garlic · sliced red bell pepper · ½ cup shredded cabbage · ⅓ cup edamame · tofu (or sub with chicken) · 1 tbsp green onions · 1 serving instant vermicelli rice noodles,large (~150g) main/base
1,,,,,,,,,,,,,,
0,125,,?,estimated,Instant Noodle Jars,lunch,1,,1 serving instant vermicelli rice noodles,serving instant vermicelli rice noodles,180,1.0 × 180 g (serving),2 tbsp vegetable bouillon · 1 tbsp chili garlic sauce · 1 tbsp soy sauce · 1 tsp sesame oil · 2 tsp minced garlic · sliced red bell pepper · ½ cup shredded cabbage · ⅓ cup edamame · tofu (or sub with chicken) · 1 tbsp green onions · 1 serving instant vermicelli rice noodles,large (~180g) main/base
1,,,,,,,,,,,,,,
0,250,125g per serve,?,estimated,Kimchi Bibimmyeon,lunch,2,Noodles & Topping,Shin ramyun noodles,Shin ramyun noodles,180,bare → 180 g typical (noodle),"[Sauce] Just under 1/2 cup kimchi, chopped · [Sauce] 1-2 tbsp kimchi juice · [Sauce] 1/2 tbsp rice vinegar · [Sauce] 1 tsp soy sauce · [Sauce] 1 tsp oyster sauce · [Sauce] 1.5 tbsp gochujang · [Sauce] 1 tbsp gochugaru · [Sauce] 1/2 tbsp sugar · [Sauce] 1 garlic clove, minced · [Sauce] 1 tbsp sesame oil · [Sauce] 1/2 tsp shin ramyun packet seasoning (optional) · [Sauce] 1/2 tsp MSG · [Noodles & Topping] Shin ramyun noodles · [Noodles & Topping] Half a soft-boiled egg · [Noodles & Topping] Julienne cucumber · [Noodles & Topping] Sesame seeds · [Noodles & Topping] Sesame oil",large (~180g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Kimchi Bibimmyeon,lunch,2,Noodles & Topping,Julienne cucumber,Julienne cucumber,300,bare → 1 × 300 g (cucumber),"[Sauce] Just under 1/2 cup kimchi, chopped · [Sauce] 1-2 tbsp kimchi juice · [Sauce] 1/2 tbsp rice vinegar · [Sauce] 1 tsp soy sauce · [Sauce] 1 tsp oyster sauce · [Sauce] 1.5 tbsp gochujang · [Sauce] 1 tbsp gochugaru · [Sauce] 1/2 tbsp sugar · [Sauce] 1 garlic clove, minced · [Sauce] 1 tbsp sesame oil · [Sauce] 1/2 tsp shin ramyun packet seasoning (optional) · [Sauce] 1/2 tsp MSG · [Noodles & Topping] Shin ramyun noodles · [Noodles & Topping] Half a soft-boiled egg · [Noodles & Topping] Julienne cucumber · [Noodles & Topping] Sesame seeds · [Noodles & Topping] Sesame oil",large (~300g) main/base
1,,,,,,,,,,,,,,
0,500,125g per serve,?,estimated,Peanut Tofu Salad Jars,lunch,4,Salad,Cooked quinoa (frozen microwave quinoa works well),Cooked quinoa (frozen microwave quinoa works well),180,bare → 180 g typical (quinoa),[Tofu] 1 x 16oz block extra firm tofu · [Tofu] 2 tbsp coconut aminos · [Tofu] 1 tbsp soy sauce · [Tofu] 1 tsp garlic powder · [Tofu] 1 tsp onion powder · [Salad] Cooked quinoa (frozen microwave quinoa works well) · [Salad] 1 cucumber · [Salad] Shredded carrots · [Salad] Shredded purple cabbage · [Salad] 3 green onions · [Salad] 1¼ cups edamame (frozen works well) · [Peanut Dressing] 1/3 cup powdered peanut butter · [Peanut Dressing] 3 tbsp coconut aminos · [Peanut Dressing] 2 tsp lime juice · [Peanut Dressing] 1 tbsp maple syrup · [Peanut Dressing] 2 tsp sriracha · [Peanut Dressing] 1 tsp garlic powder · [Peanut Dressing] 1/2 tsp onion powder · [Peanut Dressing] 3 tbsp warm water (add more 1 tbsp at a time if too thick),large (~180g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Roast Chicken and Charred Corn Rice Salad,lunch,2,Salad,1 head romaine lettuce,head romaine lettuce,300,1.0 × 300 g (head),"[Salad] 200g leftover cooked rice · [Salad] 250g sweetcorn (tinned, drained) · [Salad] 200g shredded cooked chicken · [Salad] 1 head romaine lettuce · [Salad] 3 salad tomatoes, roughly chopped · [Salad] Pickled red onions, to garnish · [Salad] Lime wedges, to garnish · [Avocado Dressing] 1 tbsp pickled jalapeños · [Avocado Dressing] 1 tbsp nutritional yeast · [Avocado Dressing] 1 garlic clove · [Avocado Dressing] ½ avocado (~75g) · [Avocado Dressing] 1 tbsp Greek yoghurt (sub soya yoghurt to keep DF) · [Avocado Dressing] Juice of ½ lemon · [Avocado Dressing] Salt and pepper · [Avocado Dressing] Olive oil, to thin",large (~300g) main/base
1,,,,,,,,,,,,,,
0,125,,?,estimated,Salmon Poke Bowl Meal Prep,lunch,1,Rest,1 serving microwave sticky rice,serving microwave sticky rice,180,1.0 × 180 g (serving),"[Salmon] 1 tin salmon fillets · [Salmon] 1 sheet nori (or furikake) · [Salmon] 1 tsp miso paste · [Salmon] 1 spring onion, finely sliced · [Salmon] 1.5 tbsp mirin (+ extra for cucumber) · [Salmon] 1/2 tbsp maple syrup (+ extra for cucumber) · [Salmon] 1/2 tbsp garlic and ginger paste · [Salmon] 1/2 tbsp gochujang (sub sriracha) · [Salmon] 1-2 tbsp Greek yoghurt/mayonnaise · [Salmon] 1.5 tbsp soy sauce · [Salmon] 1 tsp sesame oil · [Rest] 1 serving microwave sticky rice · [Rest] 1/2 avocado, sliced · [Rest] 1/4 cucumber, thinly sliced · [Rest] sesame seeds/furikake · [Rest] kimchi (optional)",large (~180g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Sticky Miso Chicken Prep Boxes,lunch,3,Rice Salad,soy sauce + rice vinegar to season,soy sauce + rice vinegar to season,180,bare → 180 g typical (rice),"[Miso Chicken] 350g mini chicken breast fillets · [Miso Chicken] 2 tsp white miso · [Miso Chicken] 2 tsp honey · [Miso Chicken] 2 tbsp soy sauce · [Miso Chicken] 2 garlic cloves, minced · [Miso Chicken] 1 tsp grated ginger · [Miso Chicken] 1 tbsp toasted sesame oil · [Rice Salad] 250g cooked brown rice, cooled · [Rice Salad] 1 cucumber, deseeded and diced · [Rice Salad] 4 spring onions, chopped · [Rice Salad] large handful coriander, chopped · [Rice Salad] soy sauce + rice vinegar to season · [Edamame Hummus] 160g edamame · [Edamame Hummus] 1 tbsp tahini · [Edamame Hummus] 2 tbsp Greek yoghurt · [Edamame Hummus] juice and zest of 1 lime · [Edamame Hummus] 1 tsp honey · [Edamame Hummus] 1 tsp toasted sesame oil · [Edamame Hummus] ½ garlic clove · [Edamame Hummus] 2 spring onions · [Edamame Hummus] generous salt + pepper · [To Finish] pumpkin seeds to garnish",large (~180g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Summer Salad with Blackened Salmon,lunch,2,Salad,1 large head romaine,head romaine,300,1.0 × 300 g (head),[Salad] 1 large head romaine · [Salad] 1 pak choy · [Salad] 1 medium cucumber · [Salad] Handful of green beans · [Salad] 4 sprigs spring onion · [Salad] 1 tsp pickled chilli · [Salad] 1 tsp sesame seeds · [Salad] 1 avocado · [Salmon] 2 salmon fillets · [Salmon] 2 tbsp soy sauce · [Salmon] 1 tsp honey · [Salmon] 1 tsp rice wine vinegar · [Dressing] 1 garlic clove · [Dressing] 1 inch piece ginger · [Dressing] 2 tbsp ponzu · [Dressing] 2 tbsp sesame oil · [Dressing] 1 tsp honey · [Dressing] 1 tbsp rice wine vinegar,large (~300g) main/base
1,,,,,,,,,,,,,,
0,90,,?,estimated,Tuna Avocado Wrap,lunch,1,Sandwich,"Half an avocado, sliced",Half an avocado,150,bare → 1 × 150 g (avocado),"[Tunacado Filling] 1 tin tuna in spring water, drained · [Tunacado Filling] 1/4 small red onion, finely chopped · [Tunacado Filling] 0.5 tbsp minced garlic · [Tunacado Filling] 1 small gherkin, finely chopped · [Tunacado Filling] 1 tbsp pickle juice · [Tunacado Filling] 2 tbsp light mayonnaise · [Tunacado Filling] 1 tbsp dill/parsley, finely chopped · [Tunacado Filling] 0.5 tsp dijon mustard · [Tunacado Filling] 1 tbsp hot sauce · [Tunacado Filling] Salt & black pepper to taste · [Sandwich] 1.5 tbsp green pesto · [Sandwich] Half an avocado, sliced · [Sandwich] Hot sauce (optional) · [Sandwich] 1 small tomato, sliced · [Sandwich] 1 soft pitta",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,?,estimated,Tuna Melt Sandwich,lunch,1,Tuna Salad,"Finely diced red onion, celery, and dill pickles",Finely diced red onion,150,bare → 1 × 150 g (red onion),"[Tuna Salad] 1 can of tuna · [Tuna Salad] Finely diced red onion, celery, and dill pickles · [Tuna Salad] 1 tbsp light mayo · [Tuna Salad] 1/2 avocado · [Tuna Salad] Splash of lemon juice · [Tuna Salad] Salt and pepper to taste · [Tuna Salad] 1 tsp garlic powder · [Tuna Salad] 1 tsp dried dill · [Sandwich] 2 slices of sourdough · [Sandwich] Hummus · [Sandwich] Sliced tomato · [Sandwich] Cheddar cheese",large (~150g) main/base
1,,,,,,,,,,,,,,
0,,,★,unresolved,Crispy Gluten Free Shrimp Dumplings,snack,7,Wrapper,Cold water,Cold water,,"no amount, generic item","[Shrimp Balls] 7oz shrimp, peeled & deveined · [Shrimp Balls] ½ tsp salt · [Shrimp Balls] ¼ tsp black pepper · [Shrimp Balls] 1 garlic clove · [Shrimp Balls] 1 small knob of ginger · [Shrimp Balls] 2 green onions · [Dipping Sauce] ¼ cup gluten free soy sauce · [Dipping Sauce] 2 tbsp gluten free hoisin sauce · [Dipping Sauce] 1 tbsp water · [Dipping Sauce] 2 tsp rice vinegar · [Dipping Sauce] 1 tsp sriracha (or chili oil) · [Dipping Sauce] ½ tsp maple syrup (or sugar) · [Dipping Sauce] 1 clove garlic, minced · [Dipping Sauce] 1 tsp green onions, chopped · [Dipping Sauce] ¼ tsp minced fresh ginger · [Dipping Sauce] ½ tsp toasted sesame oil · [Wrapper] Cold water · [Wrapper] Glutinous rice flour · [To Cook] 1/3 cup water · [To Cook] Oil",unresolved (no value)
1,,,,,,,,,,,,,,
0,40,,?,estimated,Crispy Gluten Free Shrimp Dumplings,snack,7,Wrapper,Glutinous rice flour,Glutinous rice flour,180,bare → 180 g typical (rice),"[Shrimp Balls] 7oz shrimp, peeled & deveined · [Shrimp Balls] ½ tsp salt · [Shrimp Balls] ¼ tsp black pepper · [Shrimp Balls] 1 garlic clove · [Shrimp Balls] 1 small knob of ginger · [Shrimp Balls] 2 green onions · [Dipping Sauce] ¼ cup gluten free soy sauce · [Dipping Sauce] 2 tbsp gluten free hoisin sauce · [Dipping Sauce] 1 tbsp water · [Dipping Sauce] 2 tsp rice vinegar · [Dipping Sauce] 1 tsp sriracha (or chili oil) · [Dipping Sauce] ½ tsp maple syrup (or sugar) · [Dipping Sauce] 1 clove garlic, minced · [Dipping Sauce] 1 tsp green onions, chopped · [Dipping Sauce] ¼ tsp minced fresh ginger · [Dipping Sauce] ½ tsp toasted sesame oil · [Wrapper] Cold water · [Wrapper] Glutinous rice flour · [To Cook] 1/3 cup water · [To Cook] Oil",large (~180g) main/base
